CountyName,HUC_8,area_ha_piece,county_area_ha,frac_of_county
Story,07080105,130280.28734691362,148467.23657714145,0.8775019347734802
Story,07080106,451.2406903787085,148467.23657714145,0.003039328411991088
Story,07080207,14369.082404225159,148467.23657714145,0.09678285078579738
Story,07080208,1163.9612461302663,148467.23657714145,0.007839852569260213
Story,07100004,70.26390585948535,148467.23657714145,0.0004732620305960718
Story,07100008,2132.4009836342266,148467.23657714145,0.014362771428875229
Tama,07080205,58126.128218226084,186842.1769894654,0.31109746822048306
Tama,07080208,128716.04877123935,186842.1769894654,0.6889025317795171
Taylor,10240010,13625.195685573033,138438.42053993893,0.09842062364213566
Taylor,10240012,38009.23894707007,138438.42053993893,0.2745570109715645
Taylor,10240013,86191.93298411815,138438.42053993893,0.6226012450008567
Taylor,10280101,612.0529231774882,138438.42053993893,0.004421120385441795
Union,07100008,1700.1373081588395,110257.51709708582,0.015419695209187468
Union,10240010,4315.857895260787,110257.51709708582,0.03914343446951118
Union,10240012,30823.025067055005,110257.51709708582,0.2795548628209557
Union,10280101,13961.375841057012,110257.51709708582,0.12662516088371104
Union,10280102,59457.12098555394,110257.51709708582,0.5392568466166325
Van Buren,07080107,15492.157394596372,127059.08208362713,0.12192876841656874
Van Buren,07100009,92501.77521375049,127059.08208362713,0.7280217493848108
Van Buren,07110001,19065.14947527994,127059.08208362713,0.1500494821986179
Wapello,07080107,39496.59891475163,112824.4607665314,0.3500712402825685
Wapello,07100009,73327.86185177973,112824.4607665314,0.6499287597174312
Warren,07100006,511.7725088718878,148267.46394319888,0.0034516845116332965
Warren,07100008,147755.69143432705,148267.46394319888,0.9965483154883671
Washington,07080107,72326.87734960015,147712.69320304092,0.48964564778588154
Washington,07080209,75385.81585344068,147712.69320304092,0.5103543522141178
Wayne,10280102,22952.35243035454,136446.74914966794,0.16821472532979284
Wayne,10280103,31640.078364941935,136446.74914966794,0.23188590832776856
Wayne,10280201,81854.31835437169,136446.74914966794,0.5998993663424402
Webster,07080105,798.7293728541354,186039.4378150829,0.004293333619122448
Webster,07100004,141760.119810594,186039.4378150829,0.7619896161560051
Webster,07100005,3009.7189577583035,186039.4378150829,0.01617785450819232
Webster,07100006,40470.869673876834,186039.4378150829,0.21753919571668212
Winnebago,07020009,22064.18169146967,103920.4231495733,0.21231805089662267
Winnebago,07080202,863.6669667205447,103920.4231495733,0.008310849210818393
Winnebago,07080203,53239.69957900747,103920.4231495733,0.5123121900916363
Winnebago,07080207,259.50879005737215,103920.4231495733,0.00249718758057653
Winnebago,07100003,27493.36612231826,103920.4231495733,0.26456172222034635
Winneshiek,07040008,1167.9141012870377,178583.8326915866,0.0065398646881099235
Winneshiek,07060001,11658.593643467315,178583.8326915866,0.06528358960467406
Winneshiek,07060002,113348.99975988228,178583.8326915866,0.6347103097268354
Winneshiek,07060004,52408.32518694973,178583.8326915866,0.2934662359803793
Woodbury,10170203,1591.7023891662427,227513.98012574867,0.0069960641024630526
Woodbury,10230001,23640.90425226442,227513.98012574867,0.10390967728311867
Woodbury,10230002,6297.184657948223,227513.98012574867,0.0276782317045648
Woodbury,10230003,55785.630197906794,227513.98012574867,0.24519649371468805
Woodbury,10230004,121062.86301387982,227513.98012574867,0.5321117539544932
Woodbury,10230005,19135.65029845368,227513.98012574867,0.0841075800611341
Worth,07080201,20807.00997697668,104006.06654971105,0.2000557339319404
Worth,07080202,53592.26391848625,104006.06654971105,0.5152801725548494
Worth,07080203,29606.79265424804,104006.06654971105,0.28466409351320954
Wright,07080207,55644.40572083271,150620.684725421,0.3694340244321126
Wright,07100004,6.769550185958111,150620.684725421,4.494435939060355e-05
Wright,07100005,94969.50945440208,150620.684725421,0.6305210312084952
